order_date,daily_gmv,daily_order_count,average_order_value
2025-01-01,9495.85,47,202.03936170212768
2025-01-02,4239.57,29,146.19206896551722
2025-01-03,4962.17,38,130.5834210526316
2025-01-04,6378.88,44,144.97454545454545
2025-01-05,4507.64,43,104.82883720930234
2025-01-06,4961.85,37,134.10405405405407
2025-01-07,4460.32,32,139.385
2025-01-08,5485.84,41,133.8009756097561
2025-01-09,6193.0,37,167.3783783783784
2025-01-10,3181.61,29,109.71068965517242
2025-01-11,6381.13,33,193.36757575757576
2025-01-12,6428.78,46,139.75608695652173
2025-01-13,5636.34,39,144.52153846153846
2025-01-14,5692.15,38,149.79342105263157
2025-01-15,5461.36,43,127.00837209302325
2025-01-16,3271.41,36,90.8725
2025-01-17,5333.5,39,136.75641025641025
2025-01-18,5573.650000000001,31,179.7951612903226
2025-01-19,5883.33,43,136.82162790697674
2025-01-20,4853.48,37,131.17513513513512
2025-01-21,5587.1900000000005,35,159.63400000000001
2025-01-22,4267.26,32,133.351875
2025-01-23,6107.030000000001,41,148.9519512195122
2025-01-24,6357.28,37,171.81837837837838
2025-01-25,7658.02,56,136.75035714285715
2025-01-26,6883.92,43,160.09116279069767
2025-01-27,6046.2300000000005,39,155.03153846153847
2025-01-28,6824.64,48,142.18
2025-01-29,4876.72,37,131.80324324324326
2025-01-30,6395.2,47,136.06808510638297
2025-01-31,4442.33,33,134.6160606060606
2025-02-01,5508.6900000000005,36,153.01916666666668
2025-02-02,7309.14,39,187.41384615384615
2025-02-03,5943.68,46,129.2104347826087
2025-02-04,5103.26,38,134.29631578947368
2025-02-05,6939.27,46,150.8536956521739
2025-02-06,6623.84,45,147.19644444444444
2025-02-07,3320.53,30,110.68433333333334
2025-02-08,5327.47,39,136.60179487179488
2025-02-09,7175.34,46,155.98565217391305
2025-02-10,6747.349999999999,46,146.68152173913043
2025-02-11,7953.05,51,155.9421568627451
2025-02-12,6659.78,54,123.32925925925926
2025-02-13,5867.02,49,119.73510204081633
2025-02-14,7822.2699999999995,55,142.2230909090909
2025-02-15,6981.2300000000005,58,120.36603448275864
2025-02-16,6468.26,56,115.50464285714285
2025-02-17,8525.72,61,139.76590163934426
2025-02-18,7628.17,51,149.57196078431372
2025-02-19,4814.0,35,137.54285714285714
2025-02-20,4356.37,29,150.21965517241378
2025-02-21,5482.66,38,144.28052631578947
2025-02-22,4779.28,33,144.82666666666665
2025-02-23,6814.56,46,148.14260869565217
2025-02-24,5487.67,46,119.29717391304348
2025-02-25,4865.85,35,139.02428571428572
2025-02-26,4621.64,39,118.50358974358976
2025-02-27,5527.08,35,157.91657142857142
2025-02-28,5576.77,41,136.0187804878049
2025-03-01,4852.31,36,134.7863888888889
2025-03-02,5133.68,35,146.67657142857144
2025-03-03,4524.7,32,141.396875
2025-03-04,7179.68,51,140.77803921568628
2025-03-05,5766.48,30,192.21599999999998
2025-03-06,4722.22,38,124.26894736842105
2025-03-07,4125.07,29,142.24379310344827
2025-03-08,6018.83,40,150.47075
2025-03-09,4746.58,33,143.83575757575758
2025-03-10,6580.5599999999995,38,173.17263157894735
2025-03-11,3535.64,34,103.98941176470588
2025-03-12,6975.64,46,151.64434782608697
2025-03-13,5177.8099999999995,37,139.9408108108108
2025-03-14,5389.76,39,138.19897435897437
2025-03-15,3107.31,28,110.97535714285713
2025-03-16,4606.86,37,124.50972972972973
2025-03-17,4809.9,36,133.60833333333332
2025-03-18,4951.81,32,154.7440625
2025-03-19,5969.64,42,142.1342857142857
2025-03-20,4542.59,30,151.41966666666667
2025-03-21,5512.72,33,167.05212121212122
2025-03-22,4863.09,36,135.08583333333334
2025-03-23,4741.23,33,143.67363636363635
2025-03-24,3050.23,28,108.93678571428572
2025-03-25,5796.95,40,144.92374999999998
2025-03-26,7769.21,47,165.30234042553192
2025-03-27,7137.15,59,120.9686440677966
2025-03-28,4858.67,43,112.99232558139535
2025-03-29,6675.32,49,136.23102040816326
2025-03-30,6356.92,45,141.2648888888889
2025-03-31,6384.63,52,122.78134615384616
