inventory_id,product_id,warehouse,stock_quantity,quality_flag
INV-00001,PRD-0001,WH-B,-55.0,True
INV-00002,PRD-0001,WH-C,76.0,False
INV-00003,PRD-0001,WH-A,124.0,False
INV-00004,PRD-0002,WH-C,121.0,False
INV-00005,PRD-0002,WH-B,25.0,False
INV-00006,PRD-0003,WH-B,70.0,False
INV-00007,PRD-0003,WH-C,88.0,False
INV-00008,PRD-0003,WH-A,134.0,False
INV-00009,PRD-0004,WH-A,121.0,False
INV-00010,PRD-0004,WH-C,94.0,False
INV-00011,PRD-0005,WH-C,12.0,False
INV-00012,PRD-0005,WH-B,97.0,False
INV-00013,prod_0006,WH-B,104.0,False
INV-00014,prod_0006,WH-A,437.0,False
INV-00015,prod_0006,WH-C,85.0,False
INV-00016,PRD-0007,WH-C,125.0,False
INV-00017,PRD-0008,WH-C,217.0,False
INV-00018,PRD-0008,WH-A,170.0,False
INV-00019,PRD-0008,WH-B,252.0,False
INV-00020,PRD-0009,WH-A,25.0,False
INV-00021,PRD-0009,WH-C,3977.0,True
INV-00022,PRD-0009,WH-B,,True
INV-00023,PRD-0010,WH-C,21.0,False
INV-00024,PRD-0010,WH-B,105.0,False
INV-00025,PRD-0010,WH-A,44.0,False
INV-00026,PRD-0011,WH-C,274.0,False
INV-00027,PRD-0012,WH-C,50.0,False
INV-00028,PRD-0012,WH-B,77.0,False
INV-00029,PRD-0013,WH-B,177.0,False
INV-00030,PRD-0014,WH-B,31.0,False
INV-00031,PRD-0014,WH-C,20.0,False
INV-00032,PRD-0015,WH-C,114.0,False
INV-00033,PRD-0015,WH-A,121.0,False
INV-00034,PRD-0016,WH-B,173.0,False
INV-00035,PRD-0017,WH-C,146.0,False
INV-00036,PRD-0017,WH-B,124.0,False
INV-00037,PRD-0018,WH-C,56.0,False
INV-00038,PRD-0018,WH-B,119.0,False
INV-00039,PRD-0019,WH-A,124.0,False
INV-00040,PRD-0019,WH-B,54.0,False
INV-00041,PRD-0019,WH-C,325.0,False
INV-00042,PRD-0020,WH-B,141.0,False
INV-00043,PRD-0020,WH-C,41.0,False
INV-00044,PRD-0021,WH-B,174.0,False
INV-00045,PRD-0022,WH-A,194.0,False
INV-00046,PRD-0022,WH-B,135.0,False
INV-00047,PRD-0022,WH-C,82.0,False
INV-00048,PRD-0023,WH-A,52.0,False
INV-00049,PRD-0024,WH-B,94.0,False
INV-00050,PRD-0024,WH-C,128.0,False
INV-00051,PRD-0024,WH-A,101.0,False
INV-00052,PRD-0025,WH-A,260.0,False
INV-00053,PRD-0026,WH-C,156.0,False
INV-00054,PRD-0026,WH-A,47.0,False
INV-00055,prod_0027,WH-B,37.0,False
INV-00056,prod_0027,WH-C,142.0,False
INV-00057,PRD-0028,WH-A,83.0,False
INV-00058,PRD-0029,WH-C,166.0,False
INV-00059,PRD-0029,WH-A,141.0,False
INV-00060,PRD-0029,WH-B,94.0,False
INV-00061,PRD-0030,WH-C,47.0,False
INV-00062,PRD-0030,WH-A,22.0,False
INV-00063,PRD-0031,WH-B,117.0,False
INV-00064,PRD-0031,WH-A,31.0,False
INV-00065,PRD-0031,WH-C,45.0,False
INV-00066,PRD-0032,WH-B,112.0,False
INV-00067,PRD-0033,WH-C,104.0,False
INV-00068,PRD-0034,WH-B,35.0,False
INV-00069,PRD-0035,WH-B,209.0,False
INV-00070,PRD-0035,WH-C,205.0,False
INV-00071,PRD-0035,WH-A,145.0,False
INV-00072,PRD-0036,WH-B,145.0,False
INV-00073,PRD-0036,WH-A,145.0,False
INV-00074,PRD-0037,WH-C,193.0,False
INV-00075,PRD-0037,WH-A,159.0,False
INV-00076,PRD-0038,WH-A,-52.0,True
INV-00077,PRD-0038,WH-C,82.0,False
INV-00078,PRD-0039,WH-B,407.0,False
INV-00079,PRD-0040,WH-B,13.0,False
INV-00080,PRD-0040,WH-C,67.0,False
INV-00081,PRD-0041,WH-B,210.0,False
INV-00082,PRD-0042,WH-B,54.0,False
INV-00083,PRD-0042,WH-C,162.0,False
INV-00084,PRD-0042,WH-A,103.0,False
INV-00085,PRD-0043,WH-C,57.0,False
INV-00086,PRD-0043,WH-B,10.0,False
INV-00087,PRD-0044,WH-B,115.0,False
INV-00088,PRD-0044,WH-C,50.0,False
INV-00089,PRD-0045,WH-B,91.0,False
INV-00090,PRD-0045,WH-A,13968.0,True
INV-00091,PRD-0046,WH-A,,True
INV-00092,PRD-0046,WH-B,67.0,False
INV-00093,PRD-0046,WH-C,57.0,False
INV-00094,PRD-0047,WH-A,-31.0,True
INV-00095,PRD-0047,WH-B,189.0,False
