order_item_id,order_id,product_id,quantity,unit_price,item_total,quality_flag
OI-0001210,ORD-000331,PRD-0045,6,347.66,2107.8,True
OI-0001142,ORD-000049,PRD-0018,6,481.81,2890.86,False
OI-0000423,ORD-000298,PRD-0049,6,199.67,1198.02,False
OI-0001118,ORD-000055,PRD-0058,3,331.5,994.5,False
OI-0000849,ORD-000052,PRD-0011,3,175.82,527.46,False
OI-0000782,ORD-000225,PRD-0014,4,85.64,342.56,False
OI-0000024,ORD-000348,PRD-0056,7,87.59,613.13,False
OI-0000406,ORD-000228,prod_0027,4,494.97,1979.88,False
OI-0000044,ORD-000276,PRD-0036,8,0.0,0.0,False
OI-0000582,ORD-000291,PRD-0036,5,0.0,0.0,False
OI-0001056,ORD-000081,PRD-0057,4,464.07,1856.28,False
OI-0000553,ORD-000361,prod_0027,3,494.97,1484.91,False
OI-0001071,ORD-000484,PRD-0021,3,53.87,161.61,False
OI-0000309,ORD-000026,PRD-0009,6,128.37,770.22,False
OI-0000383,ORD-000266,PRD-0029,8,30.92,247.36,False
OI-0001175,ORD-000294,PRD-0052,8,130.75,1046.0,False
OI-0000491,ORD-000384,PRD-0011,4,175.82,703.28,False
OI-0000079,ORD-000074,PRD-0024,3,130.89,392.67,False
OI-0000610,ORD-000178,PRD-0021,1,53.87,53.87,False
OI-0001137,ORD-000188,PRD-0024,2,130.89,261.78,False
OI-0000534,ORD-000075,PRD-0054,3,201.98,605.94,False
OI-0000410,ORD-000483,PRD-0046,4,62.18,248.72,False
OI-0000542,ORD-000480,PRD-0057,2,464.07,928.14,False
OI-0001098,ORD-000167,PRD-0058,8,331.5,2652.0,False
OI-0000627,ORD-000389,PRD-0031,2,,260.06,True
OI-0000997,ORD-000208,PRD-0001,3,208.93,626.79,False
OI-0000347,ORD-000267,PRD-0003,4,48.91,195.64,False
OI-0000995,ORD-000237,PRD-0055,5,63.6,318.0,True
OI-0000909,ORD-000293,PRD-0022,5,25.94,129.7,False
OI-0000885,ORD-000257,PRD-0017,5,43.0,215.0,False
OI-0001035,ORD-000310,PRD-0012,8,108.15,865.2,True
OI-0000425,ORD-000030,PRD-0048,7,308.22,2157.54,False
OI-0000574,ORD-000372,prod_0006,7,19.43,136.01,False
OI-0000533,ORD-000075,PRD-0056,4,87.59,350.36,False
OI-0000124,ORD-000297,PRD-0055,5,63.6,318.0,False
OI-0000169,ORD-000336,PRD-0034,4,76.39,305.56,False
OI-0000328,ORD-000032,PRD-0022,8,25.94,207.52,False
OI-0000345,ORD-000058,PRD-0050,4,10.99,43.96,False
OI-0000494,ORD-000194,PRD-0057,8,464.07,3712.56,False
OI-0001063,ORD-000431,PRD-0048,2,308.22,616.44,False
OI-0000616,ORD-000185,prod_0027,6,494.97,2969.82,False
OI-0000721,ORD-000410,PRD-0004,2,37.34,74.68,False
OI-0000209,ORD-000413,PRD-0011,2,175.82,351.64,False
OI-0000372,ORD-000355,PRD-0042,4,88.76,355.04,False
OI-0000535,ORD-000315,PRD-0040,5,101.99,509.95,False
OI-0000064,ORD-000452,PRD-0009,3,128.37,385.11,False
OI-0001069,ORD-000092,PRD-0008,4,57.98,231.92,False
OI-0000589,ORD-000112,PRD-0025,4,165.58,662.32,False
OI-0000933,ORD-000379,PRD-0015,3,152.55,457.65,False
OI-0000562,ORD-000381,PRD-0014,6,85.64,513.84,False
OI-0000926,ORD-000398,PRD-0025,7,165.58,1206.69,True
OI-0000102,ORD-000226,PRD-0032,6,294.41,1766.46,False
OI-0000529,ORD-000200,PRD-0058,1,331.5,331.5,False
OI-0000953,ORD-000487,PRD-0021,1,53.87,53.87,False
OI-0001162,ORD-000460,PRD-0023,3,122.0,366.0,False
OI-0001226,ORD-000189,PRD-0054,2,201.98,403.96,False
OI-0000175,ORD-000281,PRD-0012,6,108.15,648.9,False
OI-0000991,ORD-000482,PRD-0047,5,-31.78,-158.9,False
OI-0000052,ORD-000010,PRD-0042,2,88.76,177.52,False
OI-0000234,ORD-000177,PRD-0008,8,57.98,463.84,False
OI-0000711,ORD-000429,PRD-0047,1,-31.78,-31.78,False
OI-0000436,ORD-000008,PRD-0009,5,128.37,641.85,False
OI-0000621,ORD-000288,PRD-0055,3,63.6,229.59,True
OI-0000219,ORD-000494,PRD-0013,4,228.07,912.28,False
OI-0000632,ORD-000082,PRD-0050,0,10.99,65.94,True
OI-0000368,order000497,PRD-0040,6,101.99,611.94,False
OI-0000082,ORD-000211,PRD-0049,0,199.67,399.34,True
OI-0000077,ORD-000365,PRD-0032,4,294.41,1177.64,False
OI-0000662,ORD-000144,PRD-0020,7,262.39,1836.73,False
OI-0001093,ORD-000388,PRD-0042,4,88.76,355.04,True
OI-0000544,ORD-000287,PRD-0034,1,76.39,76.39,False
OI-0000290,ORD-000406,PRD-0044,1,325.75,325.75,False
OI-0000059,ORD-000409,PRD-0001,-2,208.93,1253.58,True
OI-0000310,ORD-000366,PRD-0037,8,10.24,81.92,False
OI-0000824,ORD-000392,PRD-0049,5,,998.35,True
OI-0000584,ORD-000060,PRD-0045,7,347.66,2479.23,False
OI-0001079,ORD-000265,PRD-0001,2,208.93,417.86,False
OI-0000763,ORD-000165,PRD-0015,7,152.55,1067.85,False
OI-0000050,ORD-000100,PRD-0057,3,464.07,1392.21,True
OI-0000193,ORD-000149,PRD-0055,1,63.6,63.6,False
OI-0000887,ORD-000458,PRD-0008,6,57.98,347.88,False
OI-0000901,ORD-000172,PRD-0046,1,62.18,62.18,False
OI-0000199,ORD-000070,PRD-0001,4,208.93,835.72,False
OI-0000472,ORD-000322,PRD-0026,1,473.43,473.43,False
OI-0000416,ORD-000111,PRD-0044,5,325.75,1628.75,False
OI-0000364,ORD-000095,PRD-0042,3,88.76,266.28,False
OI-0001172,ORD-000192,PRD-0030,3,20.49,61.47,False
OI-0001004,ORD-000296,PRD-0050,8,10.99,87.92,False
OI-0001201,ORD-000088,PRD-0036,4,0.0,0.0,False
OI-0000768,ORD-000137,PRD-0031,8,130.03,1040.24,False
OI-0000786,order000411,PRD-0025,1,165.58,165.58,False
OI-0000343,ORD-000058,PRD-0019,2,85.46,170.92,False
OI-0000803,ORD-000371,PRD-0022,3,25.94,77.82,False
OI-0000987,ORD-000217,PRD-0040,6,101.99,611.94,False
OI-0001123,ORD-000051,PRD-0029,2,30.92,61.84,False
OI-0000129,ORD-000453,PRD-0045,8,347.66,2781.28,False
OI-0000260,ORD-000016,PRD-0046,3,62.18,186.54,False
OI-0000414,ORD-000061,PRD-0046,6,62.18,373.08,False
OI-0000197,ORD-000447,PRD-0023,3,122.0,366.0,False
OI-0000283,ORD-000334,PRD-0038,6,336.62,2019.72,False
OI-0000454,ORD-000119,PRD-0033,8,120.67,965.36,False
OI-0000978,ORD-000470,PRD-0015,1,152.55,152.55,False
OI-0000939,ORD-000289,PRD-0030,5,20.49,102.45,False
OI-0000705,ORD-000220,PRD-0035,4,49.16,196.64,False
OI-0000808,ORD-000045,PRD-0042,4,88.76,355.04,False
OI-0000853,ORD-000241,PRD-0058,4,331.5,1326.0,False
OI-0000486,ORD-000127,PRD-0007,2,257.12,514.24,False
OI-0000045,ORD-000276,PRD-0051,1978,20.39,40380.82,True
OI-0001194,ORD-000360,PRD-0014,6,85.64,513.84,False
OI-0000221,ORD-000494,PRD-0031,5,130.03,650.15,False
OI-0000030,ORD-000118,PRD-0049,1,199.67,199.67,False
OI-0000032,ORD-000250,PRD-0016,6,180.7,1084.2,False
OI-0000375,ORD-000024,PRD-0023,7,122.0,854.0,False
OI-0000797,ORD-000332,PRD-0032,3,294.41,883.23,False
OI-0000463,ORD-000195,PRD-0005,5,283.26,1416.3,False
OI-0001235,ORD-000349,PRD-0002,7,317.64,2223.48,False
OI-0000087,ORD-000370,PRD-0045,3,347.66,1042.98,False
OI-0000299,ORD-000469,PRD-0048,3,308.22,924.66,False
OI-0000307,ORD-000026,PRD-0056,5,87.59,437.95,False
OI-0001088,ORD-000316,PRD-0040,4,101.99,407.96,False
OI-0001135,ORD-000254,PRD-9014,6,308.22,1849.32,True
OI-0000071,ORD-000449,PRD-0023,6,122.0,732.0,False
OI-0000353,ORD-000186,PRD-0030,5,20.49,102.45,False
OI-0001186,ORD-000150,PRD-0010,0,146.75,1027.25,True
OI-0001126,ORD-000175,PRD-0002,5,317.64,1588.2,False
OI-0000156,ORD-000023,PRD-0032,7,294.41,2060.87,False
OI-0000580,ORD-000290,PRD-0030,1,20.49,20.49,False
OI-0000809,ORD-000471,PRD-0020,3,262.39,787.17,False
OI-0000391,ORD-000046,PRD-0046,8,62.18,497.44,False
OI-0000918,ORD-000033,PRD-0018,8,481.81,3854.48,False
OI-0000304,ORD-000490,PRD-0055,1,63.6,63.6,False
OI-0000821,ORD-000187,PRD-0046,3,62.18,186.54,False
OI-0001009,ORD-000499,PRD-0025,7,165.58,1159.06,True
OI-0000114,ORD-000210,PRD-0015,1,152.55,152.55,False
OI-0000287,ORD-000239,PRD-0042,5,88.76,443.8,False
OI-0000528,ORD-000200,PRD-0009,1,128.37,128.37,False
OI-0000655,ORD-000124,PRD-0034,5,76.39,381.95,False
OI-0000925,order000028,PRD-0031,1,130.03,130.03,False
OI-0000108,ORD-000442,PRD-0031,3,130.03,390.09,False
OI-0000979,ORD-000470,PRD-0037,4,10.24,40.96,False
OI-0001007,ORD-000252,PRD-0011,8,175.82,1406.56,False
OI-0001238,ORD-000103,PRD-0005,1,283.26,283.26,False
OI-0001165,ORD-000277,PRD-0016,6,180.7,1084.2,False
OI-0001019,ORD-000270,PRD-0044,3,325.75,977.25,False
OI-0000200,ORD-000070,PRD-0045,5,,1738.3,True
OI-0000718,ORD-000335,PRD-0012,4,108.15,432.6,False
OI-0000988,ORD-000280,PRD-0031,8,130.03,1040.24,False
OI-0001157,ORD-000314,PRD-0032,8,294.41,2355.28,False
OI-0001145,ORD-000049,PRD-0029,2,30.92,61.84,False
OI-0000895,ORD-000045,PRD-0037,6,10.24,61.44,False
OI-0000652,ORD-000124,PRD-0030,5,20.49,121.85,False
OI-0000313,ORD-000366,PRD-9028,6,380.19,2281.14,True
OI-0000755,ORD-000457,PRD-0023,7,122.0,854.0,False
OI-0000514,ORD-000229,PRD-0003,6,48.91,293.46,False
OI-0000210,ORD-000413,PRD-0022,8,25.94,207.52,False
OI-0000968,ORD-000157,PRD-0025,4,165.58,662.32,False
OI-0000211,ORD-000413,PRD-0046,3,62.18,186.54,False
OI-0000055,ORD-000251,PRD-0047,4,-31.78,-127.12,False
OI-0000271,ORD-000020,PRD-0019,1,85.46,85.46,False
OI-0000661,ORD-000144,PRD-0045,8,347.66,2781.28,False
OI-0000057,ORD-000409,PRD-0001,2,208.93,456.76,False
OI-0000110,ORD-000341,PRD-0036,7,0.0,0.0,False
OI-0000241,order000138,PRD-0034,1,76.39,76.39,False
OI-0001120,ORD-000051,PRD-0047,1,-31.78,-31.78,False
OI-0000530,ORD-000238,PRD-0017,-5,43.0,301.0,True
OI-0000555,ORD-000361,PRD-0017,7,43.0,301.0,False
OI-0000443,ORD-000109,PRD-0034,3,76.39,229.17,False
OI-0001149,ORD-000236,PRD-0008,8,57.98,463.84,False
OI-0001032,ORD-000191,PRD-9010,5,175.82,879.1,True
OI-0001240,ORD-000103,PRD-0059,4,241.74,966.96,False
OI-0000351,ORD-000018,prod_0006,2,19.43,38.86,False
OI-0000681,ORD-000203,PRD-0022,3,25.94,77.82,False
OI-0000744,ORD-000353,PRD-0001,4,208.93,835.72,False
OI-0000295,ORD-000308,PRD-0044,8,,2606.0,True
OI-0000482,ORD-000068,PRD-9029,8,63.6,508.8,True
OI-0001101,ORD-000329,PRD-0015,7,152.55,1067.85,False
OI-0001117,ORD-000055,PRD-0021,4,53.87,215.48,False
OI-0000523,ORD-000273,PRD-0012,2,108.15,216.3,False
OI-0000714,ORD-000485,PRD-0034,3,76.39,229.17,False
OI-0001059,ORD-000035,PRD-0035,8,49.16,393.28,False
OI-0000747,ORD-000337,PRD-0007,6,257.12,1542.72,False
OI-0000880,ORD-000005,PRD-0001,8,208.93,1671.44,False
OI-0000677,ORD-000184,PRD-0015,1,152.55,152.55,False
OI-0000870,ORD-000283,PRD-0031,5,130.03,650.15,False
OI-0000819,order000243,prod_0006,8,19.43,155.44,False
OI-0000171,ORD-000019,PRD-0035,1,49.16,49.16,False
OI-0000291,ORD-000406,PRD-0042,5,88.76,443.8,False
OI-0001109,ORD-000491,PRD-0008,-4,57.98,463.84,False
OI-0000813,ORD-000284,PRD-0049,7,199.67,1397.69,False
OI-0000644,ORD-000147,PRD-0014,-2,85.64,171.28,False
OI-0000598,ORD-000269,PRD-0048,5,308.22,1541.1,False
OI-0000920,ORD-000328,PRD-0001,2,208.93,417.86,False
OI-0000951,ORD-000129,PRD-0053,5,290.66,1453.3,False
OI-0000635,ORD-000321,PRD-0056,6,87.59,525.54,False
OI-0000465,ORD-000145,PRD-0025,7,165.58,1159.06,False
OI-0000448,ORD-000158,PRD-0008,8,57.98,463.84,False
OI-0000576,ORD-000254,PRD-0034,2,76.39,152.78,False
OI-0000922,ORD-000201,PRD-0018,5,481.81,2409.05,False
OI-0000262,ORD-000016,PRD-0012,4,108.15,469.14,False
OI-0000232,ORD-000438,PRD-0031,7,130.03,910.21,False
OI-0001033,ORD-000191,PRD-0050,7,10.99,76.93,False
OI-0001048,ORD-000002,PRD-0008,6,57.98,347.88,False
OI-0000011,ORD-000369,prod_0027,7,494.97,3464.79,False
OI-0000148,ORD-000001,PRD-0001,4,208.93,835.72,False
OI-0000297,ORD-000469,PRD-0055,3,63.6,190.8,False
OI-0001025,ORD-000162,PRD-0004,4,37.34,149.36,False
OI-0001213,ORD-000215,PRD-0021,3,53.87,161.61,False
OI-0000334,ORD-000212,PRD-0057,1,464.07,464.07,False
OI-0000994,ORD-000237,PRD-0032,2,294.41,588.82,False
OI-0000549,ORD-000305,PRD-0059,5,241.74,1208.7,False
OI-0000772,ORD-000259,PRD-0043,6,110.55,663.3,False
OI-0000298,ORD-000469,PRD-0019,3,85.46,256.38,False
OI-0000826,ORD-000160,PRD-0005,8,283.26,2266.08,False
OI-0000622,ORD-000011,PRD-0031,3,130.03,390.09,False
OI-0000333,ORD-000154,PRD-0008,1,57.98,57.98,False
OI-0000412,ORD-000483,PRD-0044,3,325.75,977.25,False
OI-0000937,ORD-000289,PRD-0030,2,20.49,40.98,False
OI-0000245,ORD-000272,PRD-0056,6,87.59,525.54,False
OI-0000753,ORD-000234,PRD-0039,1,204.28,204.28,False
OI-0001139,ORD-000170,PRD-0035,8,49.16,393.28,False
OI-0000136,ORD-000034,PRD-0013,2,228.07,456.14,False
OI-0001116,ORD-000055,PRD-0048,4,308.22,1232.88,False
OI-0000804,ORD-000371,PRD-9013,4,19.43,77.72,True
OI-0000707,ORD-000220,PRD-0021,5,53.87,269.35,False
OI-0001082,ORD-000242,PRD-0041,8,380.19,3041.52,False
OI-0000428,ORD-000193,prod_0027,6,494.97,2969.82,False
