order_id,customer_id,order_date,ship_date,status,quality_flag
ORD-000481,CUST-00092,2026-04-20,2026-04-30,returned,False
ORD-000450,CUST-00103,2026-02-28,2026-03-06,completed,False
ORD-000476,CUST-00014,2025-06-20,2025-06-30,completed,False
ORD-000435,,2026-03-24,2026-03-27,processing,True
ORD-000369,CUST-00074,2025-04-14,2025-04-23,cancelled,False
ORD-000056,CUST-00165,2025-05-15,2025-05-15,shipped,False
ORD-000323,CUST-00166,2025-04-20,2025-04-25,cancelled,False
ORD-000077,CUST-00068,2025-04-09,2025-04-14,returned,False
ORD-000496,CUST-00193,2026-02-03,2026-02-03,shipped,True
ORD-000348,CUST-00022,2026-03-29,2026-03-30,shipped,False
ORD-000416,CUST-00128,2025-07-03,2025-07-04,returned,False
ORD-000221,CUST-00195,2026-05-27,2026-06-04,returned,False
ORD-000118,CUST-00103,2025-08-15,2025-08-20,shipped,False
ORD-000250,CUST-00106,2026-05-25,2026-06-04,processing,False
ORD-000174,CUST-00017,2025-01-29,2025-02-03,processing,False
ORD-000094,CUST-00131,2026-01-14,2026-01-18,processing,False
ORD-000326,CUST-00100,2025-12-05,2025-12-07,cancelled,False
ORD-000276,CUST-00185,2026-01-18,2026-01-23,processing,False
ORD-000343,CUST-00189,2025-09-11,2025-09-21,returned,False
ORD-000071,CUST-00127,2025-08-09,2025-08-15,shipped,False
ORD-000100,CUST-00089,2025-04-24,2025-04-28,returned,True
ORD-000010,CUST-00116,2025-09-19,2025-09-29,cancelled,False
ORD-000251,CUST-00032,2025-11-06,2025-11-13,cancelled,False
ORD-000409,CUST-00101,2025-01-07,2025-01-13,shipped,False
ORD-000424,CUST-00024,2025-06-25,2025-06-26,cancelled,False
ORD-000452,CUST-00101,2026-01-25,2026-01-27,processing,False
ORD-000173,CUST-00199,2026-01-31,2026-02-01,shipped,False
ORD-000031,CUST-00033,2026-01-10,2026-01-11,completed,False
ORD-000449,CUST-00079,2025-11-29,2025-12-05,processing,False
ORD-000091,CUST-00088,2025-03-13,2025-03-15,completed,False
ORD-000382,CUST-00109,2025-07-08,2025-07-16,shipped,False
ORD-000132,CUST-00143,2026-06-04,2026-06-10,returned,False
ORD-000365,CUST-90006,2025-09-11,2025-09-18,shipped,True
ORD-000074,CUST-00121,2025-11-17,2025-11-27,processing,False
ORD-000211,CUST-00057,2025-10-09,2025-10-19,completed,False
ORD-000330,CUST-00118,2026-03-14,2026-03-22,completed,False
ORD-000370,CUST-00088,2025-02-19,2025-02-22,completed,False
ORD-000102,CUST-00033,2025-02-16,2025-02-19,returned,False
ORD-000219,CUST-00123,2025-11-18,2025-11-28,shipped,False
ORD-000155,CUST-00138,2025-02-08,2025-02-18,returned,False
ORD-000226,CUST-00078,2025-03-31,2025-04-10,processing,False
ORD-000400,CUST-00067,2025-08-15,2025-08-17,processing,False
ORD-000064,CUST-00105,2025-03-04,2025-03-11,cancelled,False
ORD-000003,CUST-00118,2025-01-30,2025-01-30,completed,False
ORD-000442,,2025-06-07,2025-06-13,processing,True
ORD-000341,CUST-00199,2026-04-11,2026-04-20,cancelled,False
ORD-000083,CUST-00108,2025-08-06,2025-08-08,cancelled,False
ORD-000285,CUST-00067,2025-11-03,2025-10-30,processing,True
ORD-000210,CUST-00060,2025-02-13,2025-02-07,cancelled,True
ORD-000472,CUST-00105,2026-05-06,2026-05-15,returned,False
ORD-000182,,2026-04-14,2026-04-15,cancelled,True
ORD-000078,CUST-00179,2025-03-03,2025-03-12,returned,True
ORD-000297,CUST-00179,2026-06-16,2026-06-19,processing,False
ORD-000453,CUST-00026,2025-11-05,2025-11-09,shipped,False
ORD-000496,CUST-00193,2026-02-03,2026-02-03,shipped,True
ORD-000426,CUST-90007,2025-02-13,2025-02-16,returned,True
ORD-000034,CUST-00199,2026-01-26,2026-02-05,completed,False
ORD-000080,CUST-00021,2025-12-29,2026-01-08,cancelled,False
ORD-000418,CUST-00023,2026-06-24,2026-06-28,processing,False
ORD-000168,CUST-00098,2025-05-08,2025-05-12,shipped,False
ORD-000069,CUST-00151,2025-10-29,2025-11-05,returned,False
ORD-000001,CUST-00017,2025-04-03,2025-04-09,completed,False
ORD-000085,CUST-00107,2026-01-12,2026-01-13,processing,False
ORD-000012,CUST-00110,2025-03-17,2025-03-24,returned,False
ORD-000230,CUST-00174,2025-07-25,2025-07-27,cancelled,False
ORD-000023,CUST-00074,2025-11-13,2025-11-20,returned,False
ORD-000324,CUST-00077,2026-06-21,2026-06-28,returned,False
ORD-000079,CUST-00069,2025-12-04,2025-12-14,cancelled,False
ORD-000248,CUST-00006,2025-09-29,2025-10-09,returned,False
ORD-000073,CUST-00003,2026-03-02,2026-03-03,cancelled,False
ORD-000475,CUST-00108,2025-04-22,2025-04-25,processing,False
ORD-000336,CUST-00170,2025-08-30,2025-08-30,completed,False
ORD-000019,CUST-00180,2026-05-24,2026-05-28,shipped,False
ORD-000281,CUST-00118,2026-06-12,2026-06-14,returned,False
ORD-000125,CUST-00190,2026-04-05,2026-04-15,returned,False
ORD-000443,CUST-00010,2025-04-20,2025-04-15,processing,True
ORD-000249,CUST-00135,2026-03-03,2026-03-12,completed,False
ORD-000040,CUST-00077,2025-08-29,2025-09-06,cancelled,False
ORD-000461,CUST-00090,2025-11-04,2025-11-09,shipped,False
ORD-000047,CUST-00033,2026-01-03,2026-01-03,processing,False
ORD-000302,CUST-00027,2025-11-02,2025-11-05,processing,False
ORD-000196,CUST-00182,2025-03-06,2025-03-13,processing,False
ORD-000359,CUST-00022,2026-01-20,2026-01-21,returned,False
ORD-000105,CUST-00066,2025-10-24,2025-10-29,completed,False
ORD-000282,CUST-00005,2025-11-23,2025-11-25,returned,False
ORD-000149,CUST-00059,2025-04-06,2025-04-16,cancelled,False
ORD-000156,CUST-00163,2025-05-15,2025-05-24,shipped,False
ORD-000447,CUST-00175,2026-06-09,2026-06-15,completed,True
ORD-000183,CUST-00040,2025-01-17,2025-01-27,returned,False
ORD-000070,CUST-00038,2026-03-17,2026-03-18,completed,False
ORD-000245,CUST-00108,2025-06-07,2025-06-09,returned,False
ORD-000299,CUST-90010,2025-06-27,2025-07-04,processing,False
ORD-000413,CUST-00134,2025-01-07,2025-01-15,cancelled,False
ORD-000412,CUST-00124,2026-05-10,2026-05-20,completed,True
ORD-000303,CUST-00078,2025-08-01,2025-08-08,cancelled,False
ORD-000494,CUST-00117,2026-02-10,2026-02-10,returned,False
ORD-000181,CUST-90009,2025-09-02,2025-09-08,returned,False
ORD-000375,,2025-08-31,2025-09-04,returned,True
ORD-000133,CUST-00081,2025-02-12,2025-02-08,shipped,True
ORD-000342,CUST-00170,2026-04-28,2026-05-06,shipped,False
ORD-000438,CUST-00030,2026-01-20,2026-01-26,returned,False
ORD-000177,CUST-00010,2026-04-05,2026-04-14,completed,False
ORD-000311,CUST-00060,2025-05-21,2025-05-22,returned,False
ORD-000350,CUST-00068,2025-02-26,2025-03-05,returned,False
ORD-000486,CUST-00109,2026-05-10,2026-05-15,completed,False
order000138,CUST-00048,2026-03-26,2026-04-03,returned,True
ORD-000498,CUST-00030,2025-04-15,2025-04-12,processing,True
ORD-000272,CUST-00134,2025-07-19,2025-07-24,processing,False
ORD-000441,CUST-00085,2025-03-26,2025-03-30,cancelled,False
ORD-000354,CUST-00114,2025-03-16,2025-03-16,processing,False
ORD-000087,CUST-00108,2025-01-27,2025-02-05,processing,False
ORD-000076,CUST-00031,2025-04-04,2025-04-05,cancelled,False
ORD-000448,CUST-00134,2025-04-02,2025-04-07,completed,False
ORD-000016,CUST-00115,2026-01-03,2026-01-12,processing,False
ORD-000204,CUST-00172,2026-05-25,2026-05-30,processing,False
ORD-000275,CUST-00128,2025-05-02,2025-05-04,cancelled,False
ORD-000394,CUST-00099,2025-07-29,2025-08-04,returned,False
ORD-000020,CUST-00158,2025-12-27,2025-12-30,shipped,False
ORD-000454,CUST-00001,2025-03-06,2025-03-08,processing,False
ORD-000339,,2025-10-30,2025-11-04,shipped,True
ORD-000057,CUST-90011,2025-11-28,2025-11-28,processing,False
ORD-000334,CUST-00146,2026-04-03,2026-04-07,processing,False
ORD-000081,CUST-00186,2025-02-22,2025-02-26,processing,False
ORD-000239,CUST-00172,2025-02-26,2025-02-27,shipped,False
ORD-000406,CUST-00131,2025-06-23,2025-06-25,returned,False
ORD-000308,CUST-00055,2025-12-21,2025-12-28,processing,False
ORD-000469,CUST-00024,2026-02-23,2026-03-05,shipped,False
ORD-000432,CUST-00004,2026-02-03,2026-02-13,processing,False
ORD-000490,CUST-00172,2025-06-18,2025-06-21,shipped,False
ORD-000026,CUST-00034,2025-05-16,2025-05-24,returned,False
ORD-000366,CUST-00152,2025-10-10,2025-10-13,completed,False
ORD-000043,CUST-00017,2026-03-01,2026-03-11,cancelled,False
ORD-000141,CUST-00188,2025-02-23,2025-03-05,processing,False
ORD-000419,CUST-00199,2026-02-11,2026-02-12,cancelled,False
ORD-000317,CUST-00064,2026-05-03,2026-05-10,shipped,False
ORD-000127,CUST-00041,2026-03-27,2026-03-28,cancelled,False
ORD-000333,CUST-00028,2025-01-07,2025-01-11,shipped,False
ORD-000032,CUST-00069,2025-09-28,2025-10-06,cancelled,False
ORD-000114,CUST-00045,2025-06-25,2025-07-04,processing,False
ORD-000154,CUST-00088,2026-06-04,2026-06-12,returned,False
ORD-000212,CUST-00040,2026-02-20,2026-02-25,shipped,False
ORD-000423,CUST-00135,2026-05-03,2026-05-03,completed,False
ORD-000058,CUST-00088,2025-02-23,2025-02-25,cancelled,False
ORD-000267,CUST-00026,2025-02-21,2025-02-25,returned,False
ORD-000025,CUST-00025,2025-12-01,2025-12-07,shipped,False
ORD-000018,CUST-00058,2025-01-09,2025-01-18,completed,False
ORD-000186,CUST-00170,2026-03-03,2026-03-05,completed,False
ORD-000067,CUST-00129,2025-06-01,2025-06-02,processing,False
ORD-000403,CUST-00054,2025-09-09,2025-09-16,processing,False
ORD-000397,CUST-00029,2026-06-10,2026-06-17,completed,False
ORD-000095,CUST-00085,2025-03-28,2025-03-28,shipped,False
order000497,CUST-00021,2025-07-30,2025-08-03,completed,True
ORD-000355,,2025-03-07,2025-03-15,completed,False
ORD-000024,CUST-90013,2026-01-09,2026-01-11,processing,False
order000232,CUST-00134,2026-01-13,2026-01-20,shipped,True
ORD-000266,CUST-00023,2025-08-09,2025-08-18,completed,False
ORD-000209,CUST-00062,2025-06-20,2025-06-27,cancelled,False
ORD-000006,CUST-00025,2025-07-04,2025-07-06,completed,False
ORD-000117,CUST-00113,2025-03-22,2025-03-28,processing,False
ORD-000046,CUST-00058,2026-01-07,2026-01-08,processing,False
ORD-000395,CUST-00007,2025-11-26,2025-11-30,cancelled,False
ORD-000017,CUST-00033,2025-01-23,2025-02-02,processing,False
ORD-000473,CUST-00106,2026-06-03,2026-06-09,completed,False
ORD-000462,CUST-00097,2026-05-06,2026-05-11,cancelled,False
ORD-000004,CUST-00199,2025-10-28,2025-11-02,cancelled,False
ORD-000228,CUST-00053,2025-11-04,2025-11-06,shipped,False
ORD-000483,CUST-00011,2025-04-18,2025-04-22,completed,False
ORD-000061,CUST-00087,2026-06-10,2026-06-07,cancelled,False
ORD-000111,CUST-00187,2025-11-17,2025-11-26,returned,False
ORD-000325,CUST-00061,2026-04-25,2026-04-29,completed,False
ORD-000298,CUST-00163,2026-05-05,2026-05-13,processing,False
ORD-000030,CUST-00152,2025-08-20,2025-08-30,cancelled,False
ORD-000193,CUST-00023,2025-05-17,2025-05-17,returned,False
ORD-000465,CUST-00125,2026-02-07,2026-02-12,returned,False
ORD-000027,CUST-00094,2026-05-29,2026-06-02,processing,False
ORD-000008,CUST-00141,2026-05-25,2026-06-03,shipped,False
ORD-000463,CUST-00117,2025-11-23,2025-11-27,cancelled,False
ORD-000109,CUST-00088,2025-03-15,2025-03-21,completed,False
ORD-000038,CUST-00164,2025-04-30,2025-05-02,completed,False
ORD-000158,CUST-00164,2025-06-19,2025-06-26,cancelled,False
ORD-000477,CUST-00173,2026-02-14,2026-02-11,completed,False
ORD-000119,CUST-90003,2025-03-20,2025-03-28,completed,False
ORD-000115,CUST-00087,2025-04-01,2025-04-07,shipped,False
order000176,CUST-00072,2026-04-29,2026-05-01,cancelled,True
ORD-000195,CUST-00112,2026-05-06,2026-05-02,shipped,False
ORD-000319,CUST-00081,2025-04-02,2025-04-12,shipped,False
ORD-000145,CUST-00113,2025-05-25,2025-05-30,cancelled,False
ORD-000377,CUST-00084,2025-03-04,2025-03-12,shipped,False
ORD-000430,CUST-00147,2025-05-28,2025-06-03,processing,False
ORD-000205,CUST-00178,2025-03-26,2025-04-01,cancelled,False
ORD-000322,CUST-00116,2025-10-24,2025-10-24,processing,False
ORD-000363,CUST-00049,2025-11-02,2025-11-09,returned,False
ORD-000455,CUST-00159,2026-03-08,2026-03-12,completed,False
ORD-000142,CUST-00128,2025-03-09,2025-03-14,returned,False
ORD-000495,CUST-00084,2025-07-22,2025-07-29,cancelled,False
ORD-000068,CUST-00181,2025-11-29,2025-12-05,returned,False
ORD-000262,CUST-00107,2025-11-17,2025-11-20,shipped,False
ORD-000169,CUST-00040,2025-10-07,2025-10-14,shipped,False
ORD-000127,CUST-00041,2026-03-27,2026-03-28,cancelled,False
