order_id,customer_id,order_date,ship_date,status
ORD-000481,CUST-00092,2026-04-20,2026-04-30,returned
ORD-000450,CUST-00103,2026-02-28,2026-03-06,completed
ORD-000476,CUST-00014,2025-06-20,2025-06-30,completed
ORD-000435,,2026-03-24,2026-03-27,processing
ORD-000369,CUST-00074,2025-04-14,2025-04-23,cancelled
ORD-000056,CUST-00165,2025-05-15,2025-05-15,shipped
ORD-000323,CUST-00166,2025-04-20,2025-04-25,cancelled
ORD-000077,CUST-00068,2025-04-09,2025-04-14,returned
ORD-000496,CUST-00193,2026-02-03,2026-02-03,shipped
ORD-000348,CUST-00022,2026-03-29,2026-03-30,shipped
ORD-000416,CUST-00128,2025-07-03,2025-07-04,returned
ORD-000221,CUST-00195,2026-05-27,2026-06-04,returned
ORD-000118,CUST-00103,2025-08-15,2025-08-20,shipped
ORD-000250,CUST-00106,2026-05-25,2026-06-04,processing
ORD-000174,CUST-00017,2025-01-29,2025-02-03,processing
ORD-000094,CUST-00131,2026-01-14,2026-01-18,processing
ORD-000326,CUST-00100,2025-12-05,2025-12-07,cancelled
ORD-000276,CUST-00185,2026-01-18,2026-01-23,processing
ORD-000343,CUST-00189,2025-09-11,2025-09-21,returned
ORD-000071,CUST-00127,2025-08-09,2025-08-15,shipped
ORD-000100,CUST-00089,2025-04-24,2025-04-28,returned
ORD-000010,CUST-00116,2025-09-19,2025-09-29,cancelled
ORD-000251,CUST-00032,2025-11-06,2025-11-13,cancelled
ORD-000409,CUST-00101,2025-01-07,2025-01-13,shipped
ORD-000424,CUST-00024,2025-06-25,2025-06-26,cancelled
ORD-000452,CUST-00101,2026-01-25,2026-01-27,processing
ORD-000173,CUST-00199,2026-01-31,2026-02-01,shipped
ORD-000031,CUST-00033,2026-01-10,2026-01-11,completed
ORD-000449,CUST-00079,2025-11-29,2025-12-05,processing
ORD-000091,CUST-00088,2025-03-13,2025-03-15,completed
ORD-000382,CUST-00109,2025-07-08,2025-07-16,shipped
ORD-000132,CUST-00143,2026-06-04,2026-06-10,returned
ORD-000365,CUST-90006,2025-09-11,2025-09-18,shipped
ORD-000074,CUST-00121,2025-11-17,2025-11-27,processing
ORD-000211,CUST-00057,2025-10-09,2025-10-19,completed
ORD-000330,CUST-00118,2026-03-14,2026-03-22,completed
ORD-000370,CUST-00088,2025-02-19,2025-02-22,completed
ORD-000102,CUST-00033,2025-02-16,2025-02-19,returned
ORD-000219,CUST-00123,2025-11-18,2025-11-28,shipped
ORD-000155,CUST-00138,2025-02-08,2025-02-18,returned
ORD-000226,CUST-00078,2025-03-31,2025-04-10,processing
ORD-000400,CUST-00067,2025-08-15,2025-08-17,processing
ORD-000064,CUST-00105,2025-03-04,2025-03-11,cancelled
ORD-000003,CUST-00118,2025-01-30,2025-01-30,completed
ORD-000442,,2025-06-07,2025-06-13,processing
ORD-000341,CUST-00199,2026-04-11,2026-04-20,cancelled
ORD-000083,CUST-00108,2025-08-06,2025-08-08,cancelled
ORD-000285,CUST-00067,2025-11-03,2025-10-30,processing
ORD-000210,CUST-00060,2025-02-13,2025-02-07,cancelled
ORD-000472,CUST-00105,2026-05-06,2026-05-15,returned
ORD-000182,,2026-04-14,2026-04-15,cancelled
ORD-000078,CUST-00179,2025-03-03,2025-03-12,returned
ORD-000297,CUST-00179,2026-06-16,2026-06-19,processing
ORD-000453,CUST-00026,2025-11-05,2025-11-09,shipped
ORD-000496,CUST-00193,2026-02-03,2026-02-03,shipped
ORD-000426,CUST-90007,2025-02-13,2025-02-16,returned
ORD-000034,CUST-00199,2026-01-26,2026-02-05,completed
ORD-000080,CUST-00021,2025-12-29,2026-01-08,cancelled
ORD-000418,CUST-00023,2026-06-24,2026-06-28,processing
ORD-000168,CUST-00098,2025-05-08,2025-05-12,shipped
ORD-000069,CUST-00151,2025-10-29,2025-11-05,returned
ORD-000001,CUST-00017,2025-04-03,2025-04-09,completed
ORD-000085,CUST-00107,2026-01-12,2026-01-13,processing
ORD-000012,CUST-00110,2025-03-17,2025-03-24,returned
ORD-000230,CUST-00174,2025-07-25,2025-07-27,cancelled
ORD-000023,CUST-00074,2025-11-13,2025-11-20,returned
ORD-000324,CUST-00077,2026-06-21,2026-06-28,returned
ORD-000079,CUST-00069,2025-12-04,2025-12-14,cancelled
ORD-000248,CUST-00006,2025-09-29,2025-10-09,returned
ORD-000073,CUST-00003,2026-03-02,2026-03-03,cancelled
ORD-000475,CUST-00108,2025-04-22,2025-04-25,processing
ORD-000336,CUST-00170,2025-08-30,2025-08-30,completed
ORD-000019,CUST-00180,2026-05-24,2026-05-28,shipped
ORD-000281,CUST-00118,2026-06-12,2026-06-14,returned
ORD-000125,CUST-00190,2026-04-05,2026-04-15,returned
ORD-000443,CUST-00010,2025-04-20,2025-04-15,processing
ORD-000249,CUST-00135,2026-03-03,2026-03-12,completed
ORD-000040,CUST-00077,2025-08-29,2025-09-06,cancelled
ORD-000461,CUST-00090,2025-11-04,2025-11-09,shipped
ORD-000047,CUST-00033,2026-01-03,2026-01-03,processing
ORD-000302,CUST-00027,2025-11-02,2025-11-05,processing
ORD-000196,CUST-00182,2025-03-06,2025-03-13,processing
ORD-000359,CUST-00022,2026-01-20,2026-01-21,returned
ORD-000105,CUST-00066,2025-10-24,2025-10-29,completed
ORD-000282,CUST-00005,2025-11-23,2025-11-25,returned
ORD-000149,CUST-00059,2025-04-06,2025-04-16,cancelled
ORD-000156,CUST-00163,2025-05-15,2025-05-24,shipped
ORD-000447,CUST-00175,2026-06-09,2026-06-15,completed
ORD-000183,CUST-00040,2025-01-17,2025-01-27,returned
ORD-000070,CUST-00038,2026-03-17,2026-03-18,completed
ORD-000245,CUST-00108,2025-06-07,2025-06-09,returned
ORD-000299,CUST-90010,2025-06-27,2025-07-04,processing
ORD-000413,CUST-00134,2025-01-07,2025-01-15,cancelled
ORD-000412,CUST-00124,2026-05-10,2026-05-20,completed
ORD-000303,CUST-00078,2025-08-01,2025-08-08,cancelled
ORD-000494,CUST-00117,2026-02-10,2026-02-10,returned
