product_id,stock_on_hand,reorder_point,snapshot_date
1,61,26,2025-03-31
2,109,49,2025-03-31
3,177,27,2025-03-31
4,51,47,2025-03-31
5,130,32,2025-03-31
6,133,22,2025-03-31
7,122,38,2025-03-31
8,146,29,2025-03-31
9,134,20,2025-03-31
10,2,29,2025-03-31
11,11,23,2025-03-31
12,4,26,2025-03-31
13,46,47,2025-03-31
14,141,28,2025-03-31
15,85,39,2025-03-31
16,103,47,2025-03-31
17,51,36,2025-03-31
18,39,36,2025-03-31
19,25,34,2025-03-31
20,59,35,2025-03-31
21,73,38,2025-03-31
22,27,49,2025-03-31
23,78,26,2025-03-31
24,129,46,2025-03-31
25,54,37,2025-03-31
26,132,42,2025-03-31
27,136,41,2025-03-31
28,100,20,2025-03-31
29,166,53,2025-03-31
30,163,46,2025-03-31
31,132,34,2025-03-31
32,7,46,2025-03-31
33,1,24,2025-03-31
34,179,38,2025-03-31
35,154,21,2025-03-31
36,68,44,2025-03-31
37,132,29,2025-03-31
38,161,37,2025-03-31
39,140,53,2025-03-31
40,150,40,2025-03-31
41,0,28,2025-03-31
42,61,21,2025-03-31
43,50,18,2025-03-31
44,127,26,2025-03-31
45,88,53,2025-03-31
46,111,52,2025-03-31
47,143,40,2025-03-31
48,52,26,2025-03-31
