order_id,order_created_at,order_status,campaign_id,region,order_gmv,order_date
1,2025-01-01,completed,,Central,173.9,2025-01-01
2,2025-01-01,completed,,South,202.48,2025-01-01
3,2025-01-01,completed,,Central,153.73000000000002,2025-01-01
4,2025-01-01,completed,,North,63.15,2025-01-01
5,2025-01-01,completed,,North,61.39,2025-01-01
6,2025-01-01,completed,,Central,81.86,2025-01-01
7,2025-01-01,completed,,Central,125.09,2025-01-01
8,2025-01-01,completed,,East,108.67,2025-01-01
9,2025-01-01,completed,,Central,176.4,2025-01-01
10,2025-01-01,completed,,South,173.9,2025-01-01
11,2025-01-01,completed,,South,69.13,2025-01-01
12,2025-01-01,completed,,East,69.13,2025-01-01
13,2025-01-01,completed,,East,546.16,2025-01-01
14,2025-01-01,completed,,North,141.08999999999997,2025-01-01
15,2025-01-01,completed,,Central,122.78,2025-01-01
16,2025-01-01,completed,,Central,19.71,2025-01-01
17,2025-01-01,completed,,North,53.45,2025-01-01
18,2025-01-01,completed,,Central,202.48,2025-01-01
19,2025-01-01,completed,,East,899.2900000000001,2025-01-01
20,2025-01-01,completed,,Central,103.84,2025-01-01
21,2025-01-01,processing,,East,40.94,2025-01-01
22,2025-01-01,completed,,North,24.61,2025-01-01
23,2025-01-01,completed,,North,43.73,2025-01-01
24,2025-01-01,completed,,East,163.05,2025-01-01
25,2025-01-01,completed,,North,2429.76,2025-01-01
26,2025-01-01,completed,,Central,152.53,2025-01-01
27,2025-01-01,completed,,East,409.26,2025-01-01
28,2025-01-01,processing,,East,166.32,2025-01-01
29,2025-01-01,processing,,South,168.3,2025-01-01
30,2025-01-01,completed,,North,61.39,2025-01-01
31,2025-01-01,processing,,North,342.56,2025-01-01
32,2025-01-01,completed,,East,125.88,2025-01-01
33,2025-01-01,completed,,North,53.45,2025-01-01
34,2025-01-01,refunded,,South,53.45,2025-01-01
35,2025-01-01,completed,,South,34.71,2025-01-01
36,2025-01-01,cancelled,,North,332.92,2025-01-01
37,2025-01-01,completed,,Central,83.16,2025-01-01
38,2025-01-01,completed,,Central,69.13,2025-01-01
39,2025-01-01,completed,,South,20.47,2025-01-01
40,2025-01-01,completed,,South,186.12,2025-01-01
41,2025-01-01,completed,,South,345.69,2025-01-01
42,2025-01-01,completed,,East,84.15,2025-01-01
43,2025-01-01,completed,,Central,157.65,2025-01-01
44,2025-01-01,completed,,South,315.3,2025-01-01
45,2025-01-01,completed,,South,49.22,2025-01-01
46,2025-01-01,completed,,East,103.41999999999999,2025-01-01
47,2025-01-01,completed,,Central,78.32,2025-01-01
48,2025-01-01,completed,,Central,114.84,2025-01-01
49,2025-01-01,completed,,North,124.26,2025-01-01
50,2025-01-02,completed,,Central,131.19,2025-01-02
51,2025-01-02,completed,,North,117.99,2025-01-02
52,2025-01-02,completed,,North,61.39,2025-01-02
53,2025-01-02,completed,,North,53.45,2025-01-02
54,2025-01-02,refunded,,South,325.53,2025-01-02
55,2025-01-02,completed,,Central,133.46,2025-01-02
56,2025-01-02,completed,,East,161.72,2025-01-02
57,2025-01-02,completed,,Central,42.3,2025-01-02
58,2025-01-02,completed,,Central,152.53,2025-01-02
59,2025-01-02,completed,,South,607.44,2025-01-02
60,2025-01-02,completed,,South,84.15,2025-01-02
61,2025-01-02,refunded,,East,87.46,2025-01-02
62,2025-01-02,completed,,East,24.68,2025-01-02
63,2025-01-02,completed,,South,175.75,2025-01-02
64,2025-01-02,completed,,North,63.44,2025-01-02
65,2025-01-02,completed,,North,157.65,2025-01-02
66,2025-01-02,completed,,North,75.66,2025-01-02
67,2025-01-02,completed,,East,369.14,2025-01-02
68,2025-01-02,completed,,South,267.81,2025-01-02
69,2025-01-02,completed,,South,75.66,2025-01-02
70,2025-01-02,completed,,East,42.3,2025-01-02
71,2025-01-02,completed,,Central,43.74,2025-01-02
72,2025-01-02,completed,,East,57.71,2025-01-02
73,2025-01-02,completed,,South,153.98,2025-01-02
74,2025-01-02,completed,,South,24.61,2025-01-02
75,2025-01-02,processing,,Central,213.57999999999998,2025-01-02
76,2025-01-02,completed,,Central,296.57000000000005,2025-01-02
77,2025-01-02,processing,,East,57.71,2025-01-02
78,2025-01-02,completed,,South,66.91,2025-01-02
79,2025-01-02,completed,,South,342.88,2025-01-02
80,2025-01-02,completed,,East,184.17,2025-01-02
81,2025-01-02,cancelled,,Central,31.58,2025-01-02
82,2025-01-03,completed,,Central,21.34,2025-01-03
83,2025-01-03,completed,,North,83.93,2025-01-03
84,2025-01-03,completed,,East,34.71,2025-01-03
85,2025-01-03,completed,,East,347.8,2025-01-03
86,2025-01-03,completed,,Central,69.42,2025-01-03
87,2025-01-03,completed,,Central,19.71,2025-01-03
88,2025-01-03,completed,,East,20.47,2025-01-03
89,2025-01-03,completed,,North,251.76,2025-01-03
90,2025-01-03,completed,,East,184.19,2025-01-03
91,2025-01-03,completed,,South,83.16,2025-01-03
92,2025-01-03,completed,,South,20.47,2025-01-03
93,2025-01-03,completed,,Central,59.69,2025-01-03
94,2025-01-03,completed,,South,157.65,2025-01-03
95,2025-01-03,completed,,Central,117.99,2025-01-03
96,2025-01-03,completed,,Central,251.76,2025-01-03
97,2025-01-03,completed,,South,144.57,2025-01-03
98,2025-01-03,completed,,East,49.55,2025-01-03
99,2025-01-03,completed,,Central,141.93,2025-01-03
100,2025-01-03,completed,,Central,114.84,2025-01-03
101,2025-01-03,completed,,Central,12.22,2025-01-03
102,2025-01-03,completed,,Central,467.75,2025-01-03
103,2025-01-03,completed,,Central,84.15,2025-01-03
104,2025-01-03,processing,,East,37.74,2025-01-03
105,2025-01-03,completed,,North,78.32,2025-01-03
106,2025-01-03,completed,,Central,163.05,2025-01-03
107,2025-01-03,completed,,South,248.52,2025-01-03
108,2025-01-03,completed,,East,299.58000000000004,2025-01-03
109,2025-01-03,completed,,South,61.39,2025-01-03
110,2025-01-03,completed,,North,53.45,2025-01-03
111,2025-01-03,completed,,South,138.05,2025-01-03
