order_item_id,order_id,product_id,quantity,unit_price,line_gmv,order_created_at,order_status,campaign_id,region,order_gmv,order_date,product_name,category,unit_cost,list_price,is_commercial_order
1,1,15,1,173.9,173.9,2025-01-01,completed,,Central,173.9,2025-01-01,Home Item 07,Home,83.24,173.9,True
2,2,40,1,202.48,202.48,2025-01-01,completed,,South,202.48,2025-01-01,Fashion Item 08,Fashion,92.66,202.48,True
3,3,32,2,12.22,24.44,2025-01-01,completed,,Central,153.73000000000002,2025-01-01,Sports Item 08,Sports,7.11,12.22,True
4,3,30,1,67.9,67.9,2025-01-01,completed,,Central,153.73000000000002,2025-01-01,Sports Item 06,Sports,46.01,67.9,True
5,3,14,1,61.39,61.39,2025-01-01,completed,,Central,153.73000000000002,2025-01-01,Home Item 06,Home,36.75,61.39,True
6,4,47,2,21.34,42.68,2025-01-01,completed,,North,63.15,2025-01-01,Grocery Item 07,Grocery,13.74,21.34,True
7,4,8,1,20.47,20.47,2025-01-01,completed,,North,63.15,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
8,5,14,1,61.39,61.39,2025-01-01,completed,,North,61.39,2025-01-01,Home Item 06,Home,36.75,61.39,True
9,6,8,1,20.47,20.47,2025-01-01,completed,,Central,81.86,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
10,6,14,1,61.39,61.39,2025-01-01,completed,,Central,81.86,2025-01-01,Home Item 06,Home,36.75,61.39,True
11,7,28,1,84.15,84.15,2025-01-01,completed,,Central,125.09,2025-01-01,Sports Item 04,Sports,39.74,84.15,True
12,7,8,2,20.47,40.94,2025-01-01,completed,,Central,125.09,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
13,8,8,1,20.47,20.47,2025-01-01,completed,,East,108.67,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
14,8,6,1,88.2,88.2,2025-01-01,completed,,East,108.67,2025-01-01,Electronics Item 06,Electronics,39.5,88.2,True
15,9,6,2,88.2,176.4,2025-01-01,completed,,Central,176.4,2025-01-01,Electronics Item 06,Electronics,39.5,88.2,True
16,10,15,1,173.9,173.9,2025-01-01,completed,,South,173.9,2025-01-01,Home Item 07,Home,83.24,173.9,True
17,11,44,1,69.13,69.13,2025-01-01,completed,,South,69.13,2025-01-01,Grocery Item 04,Grocery,46.32,69.13,True
18,12,44,1,69.13,69.13,2025-01-01,completed,,East,69.13,2025-01-01,Grocery Item 04,Grocery,46.32,69.13,True
19,13,19,1,152.53,152.53,2025-01-01,completed,,East,546.16,2025-01-01,Beauty Item 03,Beauty,83.95,152.53,True
20,13,35,1,157.65,157.65,2025-01-01,completed,,East,546.16,2025-01-01,Fashion Item 03,Fashion,77.82,157.65,True
21,13,12,2,117.99,235.98,2025-01-01,completed,,East,546.16,2025-01-01,Home Item 04,Home,58.96,117.99,True
22,14,20,1,42.3,42.3,2025-01-01,completed,,North,141.08999999999997,2025-01-01,Beauty Item 04,Beauty,18.73,42.3,True
23,14,8,1,20.47,20.47,2025-01-01,completed,,North,141.08999999999997,2025-01-01,Electronics Item 08,Electronics,12.26,20.47,True
24,14,21,1,78.32,78.32,2025-01-01,completed,,North,141.08999999999997,2025-01-01,Beauty Item 05,Beauty,34.88,78.32,True
25,15,14,2,61.39,122.78,2025-01-01,completed,,Central,122.78,2025-01-01,Home Item 06,Home,36.75,61.39,True
26,16,31,1,19.71,19.71,2025-01-01,completed,,Central,19.71,2025-01-01,Sports Item 07,Sports,11.9,19.71,True
27,17,36,1,53.45,53.45,2025-01-01,completed,,North,53.45,2025-01-01,Fashion Item 04,Fashion,28.42,53.45,True
28,18,40,1,202.48,202.48,2025-01-01,completed,,Central,202.48,2025-01-01,Fashion Item 08,Fashion,92.66,202.48,True
29,19,14,1,61.39,61.39,2025-01-01,completed,,East,899.2900000000001,2025-01-01,Home Item 06,Home,36.75,61.39,True
30,19,40,3,202.48,607.44,2025-01-01,completed,,East,899.2900000000001,2025-01-01,Fashion Item 08,Fashion,92.66,202.48,True
31,19,11,2,115.23,230.46,2025-01-01,completed,,East,899.2900000000001,2025-01-01,Home Item 03,Home,73.04,115.23,True
