order_id,order_created_at,order_status,campaign_id,region,order_gmv,order_date,shipment_id,promised_ship_date,shipped_date,delivered_date,is_fulfilled,is_delayed
1,2025-01-01,completed,,Central,173.9,2025-01-01,1.0,2025-01-04,2025-01-03,2025-01-07,1,0
2,2025-01-01,completed,,South,202.48,2025-01-01,2.0,2025-01-05,,,0,1
3,2025-01-01,completed,,Central,153.73000000000002,2025-01-01,3.0,2025-01-04,2025-01-06,2025-01-10,1,1
4,2025-01-01,completed,,North,63.15,2025-01-01,4.0,2025-01-04,2025-01-04,2025-01-08,1,0
5,2025-01-01,completed,,North,61.39,2025-01-01,5.0,2025-01-04,2025-01-02,2025-01-04,1,0
6,2025-01-01,completed,,Central,81.86,2025-01-01,6.0,2025-01-04,2025-01-04,2025-01-05,1,0
7,2025-01-01,completed,,Central,125.09,2025-01-01,7.0,2025-01-03,2025-01-03,2025-01-05,1,0
8,2025-01-01,completed,,East,108.67,2025-01-01,8.0,2025-01-05,,,0,1
9,2025-01-01,completed,,Central,176.4,2025-01-01,9.0,2025-01-05,2025-01-03,2025-01-07,1,0
10,2025-01-01,completed,,South,173.9,2025-01-01,10.0,2025-01-03,2025-01-03,2025-01-07,1,0
11,2025-01-01,completed,,South,69.13,2025-01-01,11.0,2025-01-04,2025-01-08,2025-01-09,1,1
12,2025-01-01,completed,,East,69.13,2025-01-01,12.0,2025-01-04,2025-01-04,2025-01-05,1,0
13,2025-01-01,completed,,East,546.16,2025-01-01,13.0,2025-01-05,2025-01-04,2025-01-05,1,0
14,2025-01-01,completed,,North,141.08999999999997,2025-01-01,14.0,2025-01-03,,,0,1
15,2025-01-01,completed,,Central,122.78,2025-01-01,15.0,2025-01-05,2025-01-06,2025-01-09,1,1
16,2025-01-01,completed,,Central,19.71,2025-01-01,16.0,2025-01-03,2025-01-04,2025-01-05,1,1
17,2025-01-01,completed,,North,53.45,2025-01-01,17.0,2025-01-04,2025-01-03,2025-01-05,1,0
18,2025-01-01,completed,,Central,202.48,2025-01-01,18.0,2025-01-05,2025-01-06,2025-01-10,1,1
19,2025-01-01,completed,,East,899.2900000000001,2025-01-01,19.0,2025-01-04,2025-01-06,2025-01-08,1,1
20,2025-01-01,completed,,Central,103.84,2025-01-01,20.0,2025-01-05,2025-01-06,2025-01-10,1,1
21,2025-01-01,processing,,East,40.94,2025-01-01,21.0,2025-01-04,2025-01-02,2025-01-06,1,0
22,2025-01-01,completed,,North,24.61,2025-01-01,22.0,2025-01-04,2025-01-06,2025-01-08,1,1
23,2025-01-01,completed,,North,43.73,2025-01-01,23.0,2025-01-03,2025-01-04,2025-01-06,1,1
24,2025-01-01,completed,,East,163.05,2025-01-01,24.0,2025-01-04,2025-01-03,2025-01-06,1,0
25,2025-01-01,completed,,North,2429.76,2025-01-01,25.0,2025-01-05,2025-01-02,2025-01-05,1,0
26,2025-01-01,completed,,Central,152.53,2025-01-01,26.0,2025-01-04,2025-01-04,2025-01-06,1,0
27,2025-01-01,completed,,East,409.26,2025-01-01,27.0,2025-01-03,2025-01-02,2025-01-03,1,0
28,2025-01-01,processing,,East,166.32,2025-01-01,28.0,2025-01-04,2025-01-04,2025-01-05,1,0
29,2025-01-01,processing,,South,168.3,2025-01-01,29.0,2025-01-04,2025-01-04,2025-01-05,1,0
30,2025-01-01,completed,,North,61.39,2025-01-01,30.0,2025-01-04,2025-01-03,2025-01-07,1,0
31,2025-01-01,processing,,North,342.56,2025-01-01,31.0,2025-01-05,2025-01-03,2025-01-07,1,0
32,2025-01-01,completed,,East,125.88,2025-01-01,32.0,2025-01-03,2025-01-04,2025-01-07,1,1
33,2025-01-01,completed,,North,53.45,2025-01-01,33.0,2025-01-03,2025-01-02,2025-01-06,1,0
34,2025-01-01,refunded,,South,53.45,2025-01-01,,,,,0,1
35,2025-01-01,completed,,South,34.71,2025-01-01,34.0,2025-01-05,2025-01-03,2025-01-04,1,0
36,2025-01-01,cancelled,,North,332.92,2025-01-01,,,,,0,1
37,2025-01-01,completed,,Central,83.16,2025-01-01,35.0,2025-01-04,2025-01-04,2025-01-05,1,0
38,2025-01-01,completed,,Central,69.13,2025-01-01,36.0,2025-01-05,2025-01-02,2025-01-04,1,0
39,2025-01-01,completed,,South,20.47,2025-01-01,37.0,2025-01-04,2025-01-06,2025-01-07,1,1
40,2025-01-01,completed,,South,186.12,2025-01-01,38.0,2025-01-04,2025-01-08,2025-01-10,1,1
41,2025-01-01,completed,,South,345.69,2025-01-01,39.0,2025-01-03,2025-01-03,2025-01-06,1,0
42,2025-01-01,completed,,East,84.15,2025-01-01,40.0,2025-01-04,2025-01-04,2025-01-07,1,0
43,2025-01-01,completed,,Central,157.65,2025-01-01,41.0,2025-01-05,2025-01-04,2025-01-06,1,0
44,2025-01-01,completed,,South,315.3,2025-01-01,42.0,2025-01-03,2025-01-03,2025-01-04,1,0
45,2025-01-01,completed,,South,49.22,2025-01-01,43.0,2025-01-04,2025-01-06,2025-01-07,1,1
46,2025-01-01,completed,,East,103.41999999999999,2025-01-01,44.0,2025-01-03,2025-01-03,2025-01-05,1,0
47,2025-01-01,completed,,Central,78.32,2025-01-01,45.0,2025-01-04,2025-01-03,2025-01-05,1,0
48,2025-01-01,completed,,Central,114.84,2025-01-01,46.0,2025-01-04,2025-01-02,2025-01-04,1,0
49,2025-01-01,completed,,North,124.26,2025-01-01,47.0,2025-01-04,2025-01-04,2025-01-06,1,0
50,2025-01-02,completed,,Central,131.19,2025-01-02,48.0,2025-01-04,2025-01-04,2025-01-08,1,0
51,2025-01-02,completed,,North,117.99,2025-01-02,49.0,2025-01-05,2025-01-04,2025-01-08,1,0
52,2025-01-02,completed,,North,61.39,2025-01-02,50.0,2025-01-06,2025-01-04,2025-01-08,1,0
53,2025-01-02,completed,,North,53.45,2025-01-02,51.0,2025-01-05,2025-01-03,2025-01-05,1,0
54,2025-01-02,refunded,,South,325.53,2025-01-02,,,,,0,1
55,2025-01-02,completed,,Central,133.46,2025-01-02,52.0,2025-01-04,2025-01-03,2025-01-06,1,0
56,2025-01-02,completed,,East,161.72,2025-01-02,53.0,2025-01-04,2025-01-07,2025-01-11,1,1
57,2025-01-02,completed,,Central,42.3,2025-01-02,54.0,2025-01-05,2025-01-03,2025-01-06,1,0
58,2025-01-02,completed,,Central,152.53,2025-01-02,55.0,2025-01-06,2025-01-05,2025-01-09,1,0
59,2025-01-02,completed,,South,607.44,2025-01-02,56.0,2025-01-05,2025-01-04,2025-01-05,1,0
60,2025-01-02,completed,,South,84.15,2025-01-02,57.0,2025-01-04,2025-01-05,2025-01-08,1,1
61,2025-01-02,refunded,,East,87.46,2025-01-02,,,,,0,1
62,2025-01-02,completed,,East,24.68,2025-01-02,58.0,2025-01-05,2025-01-05,2025-01-07,1,0
63,2025-01-02,completed,,South,175.75,2025-01-02,59.0,2025-01-05,2025-01-05,2025-01-08,1,0
64,2025-01-02,completed,,North,63.44,2025-01-02,60.0,2025-01-05,2025-01-04,2025-01-08,1,0
65,2025-01-02,completed,,North,157.65,2025-01-02,61.0,2025-01-05,2025-01-05,2025-01-06,1,0
66,2025-01-02,completed,,North,75.66,2025-01-02,62.0,2025-01-05,2025-01-03,2025-01-05,1,0
