order_id,order_created_at,order_status,campaign_id,region
1,2025-01-01 05:37:00,completed,,Central
2,2025-01-01 16:56:00,completed,,South
3,2025-01-01 05:08:00,completed,,Central
4,2025-01-01 01:10:00,completed,,North
5,2025-01-01 02:33:00,completed,,North
6,2025-01-01 04:38:00,completed,,Central
7,2025-01-01 18:07:00,completed,,Central
8,2025-01-01 06:57:00,completed,,East
9,2025-01-01 17:17:00,completed,,Central
10,2025-01-01 19:44:00,completed,,South
11,2025-01-01 23:37:00,completed,,South
12,2025-01-01 19:51:00,completed,,East
13,2025-01-01 05:01:00,completed,,East
14,2025-01-01 05:11:00,completed,,North
15,2025-01-01 07:13:00,completed,,Central
16,2025-01-01 17:14:00,completed,,Central
17,2025-01-01 12:14:00,completed,,North
18,2025-01-01 17:37:00,completed,,Central
19,2025-01-01 05:53:00,completed,,East
20,2025-01-01 02:07:00,completed,,Central
21,2025-01-01 09:42:00,processing,,East
22,2025-01-01 12:23:00,completed,,North
23,2025-01-01 23:07:00,completed,,North
24,2025-01-01 20:07:00,completed,,East
25,2025-01-01 05:22:00,completed,,North
26,2025-01-01 14:22:00,completed,,Central
27,2025-01-01 07:15:00,completed,,East
28,2025-01-01 23:26:00,processing,,East
29,2025-01-01 02:47:00,processing,,South
30,2025-01-01 01:32:00,completed,,North
31,2025-01-01 13:42:00,processing,,North
32,2025-01-01 17:18:00,completed,,East
33,2025-01-01 05:45:00,completed,,North
34,2025-01-01 21:37:00,refunded,,South
35,2025-01-01 17:38:00,completed,,South
36,2025-01-01 20:08:00,cancelled,,North
37,2025-01-01 13:14:00,completed,,Central
38,2025-01-01 19:09:00,completed,,Central
39,2025-01-01 20:05:00,completed,,South
40,2025-01-01 19:34:00,completed,,South
41,2025-01-01 08:38:00,completed,,South
42,2025-01-01 20:55:00,completed,,East
43,2025-01-01 12:29:00,completed,,Central
44,2025-01-01 19:07:00,completed,,South
45,2025-01-01 08:12:00,completed,,South
46,2025-01-01 05:22:00,completed,,East
47,2025-01-01 00:05:00,completed,,Central
48,2025-01-01 17:37:00,completed,,Central
49,2025-01-01 10:55:00,completed,,North
50,2025-01-02 04:46:00,completed,,Central
51,2025-01-02 12:42:00,completed,,North
52,2025-01-02 04:57:00,completed,,North
53,2025-01-02 07:27:00,completed,,North
54,2025-01-02 04:18:00,refunded,,South
55,2025-01-02 07:44:00,completed,,Central
56,2025-01-02 16:47:00,completed,,East
57,2025-01-02 08:03:00,completed,,Central
58,2025-01-02 22:35:00,completed,,Central
59,2025-01-02 20:25:00,completed,,South
60,2025-01-02 00:13:00,completed,,South
61,2025-01-02 01:41:00,refunded,,East
62,2025-01-02 22:09:00,completed,,East
63,2025-01-02 11:53:00,completed,,South
64,2025-01-02 11:25:00,completed,,North
65,2025-01-02 02:22:00,completed,,North
66,2025-01-02 08:10:00,completed,,North
67,2025-01-02 21:19:00,completed,,East
68,2025-01-02 19:11:00,completed,,South
69,2025-01-02 19:46:00,completed,,South
70,2025-01-02 11:44:00,completed,,East
71,2025-01-02 11:27:00,completed,,Central
72,2025-01-02 09:50:00,completed,,East
73,2025-01-02 16:17:00,completed,,South
74,2025-01-02 16:08:00,completed,,South
75,2025-01-02 09:26:00,processing,,Central
76,2025-01-02 20:35:00,completed,,Central
77,2025-01-02 06:41:00,processing,,East
78,2025-01-02 08:52:00,completed,,South
79,2025-01-02 13:04:00,completed,,South
80,2025-01-02 13:42:00,completed,,East
81,2025-01-02 19:42:00,cancelled,,Central
82,2025-01-03 02:33:00,completed,,Central
83,2025-01-03 05:47:00,completed,,North
84,2025-01-03 19:42:00,completed,,East
85,2025-01-03 11:26:00,completed,,East
86,2025-01-03 07:29:00,completed,,Central
87,2025-01-03 18:06:00,completed,,Central
88,2025-01-03 18:17:00,completed,,East
89,2025-01-03 10:34:00,completed,,North
90,2025-01-03 18:39:00,completed,,East
91,2025-01-03 00:28:00,completed,,South
92,2025-01-03 14:09:00,completed,,South
93,2025-01-03 13:43:00,completed,,Central
94,2025-01-03 16:27:00,completed,,South
95,2025-01-03 02:05:00,completed,,Central
96,2025-01-03 19:23:00,completed,,Central
97,2025-01-03 04:16:00,completed,,South
98,2025-01-03 18:01:00,completed,,East
99,2025-01-03 10:24:00,completed,,Central
100,2025-01-03 14:51:00,completed,,Central
101,2025-01-03 23:33:00,completed,,Central
102,2025-01-03 23:08:00,completed,,Central
103,2025-01-03 19:06:00,completed,,Central
104,2025-01-03 04:44:00,processing,,East
105,2025-01-03 16:31:00,completed,,North
106,2025-01-03 20:42:00,completed,,Central
107,2025-01-03 13:20:00,completed,,South
108,2025-01-03 17:47:00,completed,,East
109,2025-01-03 17:47:00,completed,,South
110,2025-01-03 23:58:00,completed,,North
111,2025-01-03 07:40:00,completed,,South
112,2025-01-03 16:29:00,completed,,South
113,2025-01-03 14:29:00,completed,,East
114,2025-01-03 10:25:00,completed,,North
115,2025-01-03 02:16:00,completed,,South
116,2025-01-03 09:48:00,completed,,North
117,2025-01-03 20:46:00,refunded,,South
118,2025-01-03 01:29:00,completed,,South
119,2025-01-03 17:52:00,processing,,South
120,2025-01-03 22:52:00,completed,,Central
121,2025-01-04 13:52:00,completed,,East
122,2025-01-04 21:53:00,completed,,South
123,2025-01-04 03:12:00,completed,,South
124,2025-01-04 15:40:00,completed,,North
125,2025-01-04 03:11:00,completed,,East
126,2025-01-04 14:40:00,completed,,Central
127,2025-01-04 22:21:00,completed,,East
128,2025-01-04 18:25:00,completed,,South
129,2025-01-04 15:25:00,completed,,North
130,2025-01-04 11:40:00,completed,,Central
131,2025-01-04 01:08:00,completed,,Central
132,2025-01-04 23:00:00,completed,,Central
133,2025-01-04 04:09:00,processing,,South
134,2025-01-04 13:39:00,completed,,South
135,2025-01-04 05:40:00,completed,,East
136,2025-01-04 02:36:00,completed,,South
137,2025-01-04 08:11:00,processing,,South
138,2025-01-04 05:54:00,completed,,Central
139,2025-01-04 09:37:00,completed,,Central
140,2025-01-04 12:33:00,completed,,Central
141,2025-01-04 07:05:00,completed,,East
142,2025-01-04 13:38:00,completed,,North
143,2025-01-04 03:09:00,completed,,South
144,2025-01-04 06:23:00,completed,,East
145,2025-01-04 18:03:00,completed,,North
146,2025-01-04 12:34:00,completed,,East
147,2025-01-04 02:38:00,completed,,South
148,2025-01-04 00:29:00,completed,,South
149,2025-01-04 15:28:00,completed,,East
150,2025-01-04 06:46:00,completed,,Central
151,2025-01-04 21:14:00,completed,,Central
152,2025-01-04 03:03:00,processing,,South
153,2025-01-04 10:22:00,completed,,South
154,2025-01-04 22:26:00,completed,,North
155,2025-01-04 20:50:00,completed,,South
156,2025-01-04 15:45:00,completed,,Central
157,2025-01-04 01:51:00,completed,,South
158,2025-01-04 10:40:00,completed,,Central
159,2025-01-04 12:27:00,processing,,Central
160,2025-01-04 05:16:00,completed,,East
161,2025-01-04 00:44:00,completed,,North
162,2025-01-04 04:13:00,completed,,East
163,2025-01-04 17:44:00,completed,,North
164,2025-01-04 00:45:00,completed,,South
165,2025-01-05 21:18:00,cancelled,,East
166,2025-01-05 14:47:00,completed,,Central
167,2025-01-05 19:35:00,completed,,Central
168,2025-01-05 09:09:00,completed,,East
169,2025-01-05 00:04:00,completed,,Central
170,2025-01-05 12:33:00,unknown_status,,East
171,2025-01-05 01:54:00,completed,,South
172,2025-01-05 13:20:00,refunded,,Central
173,2025-01-05 01:50:00,refunded,,Central
174,2025-01-05 19:58:00,completed,,North
175,2025-01-05 07:24:00,completed,,North
176,2025-01-05 04:41:00,completed,,South
177,2025-01-05 20:48:00,completed,,Central
178,2025-01-05 05:02:00,processing,,North
179,2025-01-05 05:48:00,completed,,Central
180,2025-01-05 02:08:00,completed,,South
181,2025-01-05 04:26:00,completed,,South
182,2025-01-05 07:26:00,completed,,North
183,2025-01-05 20:23:00,completed,,South
184,2025-01-05 09:06:00,completed,,East
185,2025-01-05 09:23:00,completed,,East
186,2025-01-05 16:38:00,completed,,East
187,2025-01-05 06:35:00,completed,,South
188,2025-01-05 01:25:00,completed,,North
189,2025-01-05 04:32:00,completed,,North
190,2025-01-05 09:52:00,completed,,Central
191,2025-01-05 14:01:00,processing,,Central
192,2025-01-05 07:13:00,completed,,South
193,2025-01-05 13:34:00,refunded,,South
194,2025-01-05 21:01:00,completed,,South
195,2025-01-05 22:52:00,completed,,North
196,2025-01-05 15:43:00,completed,,Central
197,2025-01-05 07:28:00,completed,,South
198,2025-01-05 02:39:00,completed,,North
199,2025-01-05 08:32:00,cancelled,,North
200,2025-01-05 04:54:00,completed,,Central
201,2025-01-05 00:20:00,completed,,North
202,2025-01-05 08:53:00,completed,,North
203,2025-01-05 02:04:00,completed,,Central
204,2025-01-05 06:00:00,completed,,Central
205,2025-01-05 11:55:00,processing,,Central
206,2025-01-05 03:12:00,completed,,Central
207,2025-01-05 00:45:00,completed,,Central
208,2025-01-05 06:21:00,completed,,Central
209,2025-01-05 08:10:00,completed,,South
210,2025-01-05 23:15:00,completed,,East
211,2025-01-05 08:58:00,completed,,Central
212,2025-01-05 11:44:00,cancelled,,East
213,2025-01-05 22:11:00,completed,,Central
214,2025-01-05 08:42:00,completed,,South
215,2025-01-06 17:54:00,completed,,Central
216,2025-01-06 01:56:00,completed,,Central
217,2025-01-06 19:47:00,processing,,East
218,2025-01-06 13:01:00,completed,,East
219,2025-01-06 12:36:00,completed,,South
220,2025-01-06 21:58:00,completed,,North
221,2025-01-06 03:03:00,completed,,Central
222,2025-01-06 23:33:00,completed,,North
223,2025-01-06 02:54:00,completed,,South
224,2025-01-06 01:38:00,completed,,South
225,2025-01-06 18:28:00,completed,,South
226,2025-01-06 07:37:00,completed,,Central
227,2025-01-06 08:49:00,completed,,South
228,2025-01-06 21:34:00,completed,,Central
229,2025-01-06 09:45:00,completed,,North
230,2025-01-06 04:16:00,completed,,North
231,2025-01-06 19:01:00,completed,,South
232,2025-01-06 02:10:00,completed,,South
233,2025-01-06 16:49:00,cancelled,,South
234,2025-01-06 10:07:00,completed,,South
235,2025-01-06 21:36:00,completed,,East
236,2025-01-06 16:11:00,completed,,North
237,2025-01-06 00:21:00,completed,,Central
238,2025-01-06 02:06:00,completed,,North
239,2025-01-06 13:36:00,cancelled,,South
240,2025-01-06 11:55:00,completed,,South
