product_id,product_name,category,unit_cost,list_price
1,Electronics Item 01,Electronics,75.52,114.06
2,Electronics Item 02,Electronics,54.16,100.26
3,Electronics Item 03,Electronics,26.19,57.71
4,Electronics Item 04,Electronics,34.44,72.47
5,Electronics Item 05,Electronics,33.0,61.15
6,Electronics Item 06,Electronics,39.5,88.2
7,Electronics Item 07,Electronics,76.92,143.57
8,Electronics Item 08,Electronics,12.26,20.47
9,Home Item 01,Home,38.0,59.69
10,Home Item 02,Home,76.01,163.05
11,Home Item 03,Home,73.04,115.23
12,Home Item 04,Home,58.96,117.99
13,Home Item 05,Home,15.9,34.71
14,Home Item 06,Home,36.75,61.39
15,Home Item 07,Home,83.24,173.9
16,Home Item 08,Home,93.01,144.13
17,Beauty Item 01,Beauty,68.35,101.25
18,Beauty Item 02,Beauty,18.64,37.74
19,Beauty Item 03,Beauty,83.95,152.53
20,Beauty Item 04,Beauty,18.73,42.3
21,Beauty Item 05,Beauty,34.88,78.32
22,Beauty Item 06,Beauty,36.14,75.66
23,Beauty Item 07,Beauty,39.32,83.16
24,Beauty Item 08,Beauty,14.55,29.56
25,Sports Item 01,Sports,20.88,43.73
26,Sports Item 02,Sports,72.7,124.26
27,Sports Item 03,Sports,10.9,24.68
28,Sports Item 04,Sports,39.74,84.15
29,Sports Item 05,Sports,4.26,9.2
30,Sports Item 06,Sports,46.01,67.9
31,Sports Item 07,Sports,11.9,19.71
32,Sports Item 08,Sports,7.11,12.22
33,Fashion Item 01,Fashion,77.9,171.28
34,Fashion Item 02,Fashion,22.77,43.74
35,Fashion Item 03,Fashion,77.82,157.65
36,Fashion Item 04,Fashion,28.42,53.45
37,Fashion Item 05,Fashion,76.85,141.93
38,Fashion Item 06,Fashion,44.22,81.08
39,Fashion Item 07,Fashion,65.04,124.06
40,Fashion Item 08,Fashion,92.66,202.48
41,Grocery Item 01,Grocery,22.88,49.55
42,Grocery Item 02,Grocery,61.43,138.05
43,Grocery Item 03,Grocery,11.56,24.61
44,Grocery Item 04,Grocery,46.32,69.13
45,Grocery Item 05,Grocery,18.68,31.58
46,Grocery Item 06,Grocery,73.75,125.88
47,Grocery Item 07,Grocery,13.74,21.34
48,,Grocery,44.45,101.03
