product_id,stock_on_hand,reorder_point,snapshot_date
1,61,26,2025-03-31 00:00:00
2,109,49,2025-03-31 00:00:00
3,177,27,2025-03-31 00:00:00
4,51,47,2025-03-31 00:00:00
5,130,32,2025-03-31 00:00:00
6,133,22,2025-03-31 00:00:00
7,122,38,2025-03-31 00:00:00
8,146,29,2025-03-31 00:00:00
9,134,20,2025-03-31 00:00:00
10,2,29,2025-03-31 00:00:00
11,11,23,2025-03-31 00:00:00
12,4,26,2025-03-31 00:00:00
13,46,47,2025-03-31 00:00:00
14,141,28,2025-03-31 00:00:00
15,85,39,2025-03-31 00:00:00
16,103,47,2025-03-31 00:00:00
17,51,36,2025-03-31 00:00:00
18,39,36,2025-03-31 00:00:00
19,25,34,2025-03-31 00:00:00
20,59,35,2025-03-31 00:00:00
21,73,38,2025-03-31 00:00:00
22,27,49,2025-03-31 00:00:00
23,78,26,2025-03-31 00:00:00
24,129,46,2025-03-31 00:00:00
25,54,37,2025-03-31 00:00:00
26,132,42,2025-03-31 00:00:00
27,136,41,2025-03-31 00:00:00
28,100,20,2025-03-31 00:00:00
29,166,53,2025-03-31 00:00:00
30,163,46,2025-03-31 00:00:00
31,132,34,2025-03-31 00:00:00
32,7,46,2025-03-31 00:00:00
33,1,24,2025-03-31 00:00:00
34,179,38,2025-03-31 00:00:00
35,154,21,2025-03-31 00:00:00
36,68,44,2025-03-31 00:00:00
37,132,29,2025-03-31 00:00:00
38,161,37,2025-03-31 00:00:00
39,140,53,2025-03-31 00:00:00
40,150,40,2025-03-31 00:00:00
41,0,28,2025-03-31 00:00:00
42,61,21,2025-03-31 00:00:00
43,50,18,2025-03-31 00:00:00
44,127,26,2025-03-31 00:00:00
45,88,53,2025-03-31 00:00:00
46,111,52,2025-03-31 00:00:00
47,143,40,2025-03-31 00:00:00
48,52,26,2025-03-31 00:00:00
