shipment_id,order_id,promised_ship_date,shipped_date,delivered_date
1,1,2025-01-04 00:00:00,2025-01-03 00:00:00,2025-01-07 00:00:00
2,2,2025-01-05 00:00:00,,
3,3,2025-01-04 00:00:00,2025-01-06 00:00:00,2025-01-10 00:00:00
4,4,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-08 00:00:00
5,5,2025-01-04 00:00:00,2025-01-02 00:00:00,2025-01-04 00:00:00
6,6,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
7,7,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-05 00:00:00
8,8,2025-01-05 00:00:00,,
9,9,2025-01-05 00:00:00,2025-01-03 00:00:00,2025-01-07 00:00:00
10,10,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-07 00:00:00
11,11,2025-01-04 00:00:00,2025-01-08 00:00:00,2025-01-09 00:00:00
12,12,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
13,13,2025-01-05 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
14,14,2025-01-03 00:00:00,,
15,15,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-09 00:00:00
16,16,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
17,17,2025-01-04 00:00:00,2025-01-03 00:00:00,2025-01-05 00:00:00
18,18,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-10 00:00:00
19,19,2025-01-04 00:00:00,2025-01-06 00:00:00,2025-01-08 00:00:00
20,20,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-10 00:00:00
21,21,2025-01-04 00:00:00,2025-01-02 00:00:00,2025-01-06 00:00:00
22,22,2025-01-04 00:00:00,2025-01-06 00:00:00,2025-01-08 00:00:00
23,23,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-06 00:00:00
24,24,2025-01-04 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00
25,25,2025-01-05 00:00:00,2025-01-02 00:00:00,2025-01-05 00:00:00
26,26,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-06 00:00:00
27,27,2025-01-03 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00
28,28,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
29,29,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
30,30,2025-01-04 00:00:00,2025-01-03 00:00:00,2025-01-07 00:00:00
31,31,2025-01-05 00:00:00,2025-01-03 00:00:00,2025-01-07 00:00:00
32,32,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-07 00:00:00
33,33,2025-01-03 00:00:00,2025-01-02 00:00:00,2025-01-06 00:00:00
34,35,2025-01-05 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00
35,37,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00
36,38,2025-01-05 00:00:00,2025-01-02 00:00:00,2025-01-04 00:00:00
37,39,2025-01-04 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00
38,40,2025-01-04 00:00:00,2025-01-08 00:00:00,2025-01-10 00:00:00
39,41,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00
40,42,2025-01-04 00:00:00,2025-01-04 00:00:00,2025-01-07 00:00:00
41,43,2025-01-05 00:00:00,2025-01-04 00:00:00,2025-01-06 00:00:00
42,44,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00
