product_id,product_name,category,gmv,units_sold,order_count,sales_rank
40,Fashion Item 08,Fashion,38851.74,187,137,1
35,Fashion Item 03,Fashion,38176.41,249,213,2
10,Home Item 02,Home,34651.17,219,179,3
23,Beauty Item 07,Beauty,28204.48,349,286,4
42,Grocery Item 02,Grocery,24396.02,182,135,5
15,Home Item 07,Home,22697.37,134,99,6
19,Beauty Item 03,Beauty,22062.13,151,122,7
44,Grocery Item 04,Grocery,18714.57,279,227,8
14,Home Item 06,Home,18569.02,311,252,9
28,Sports Item 04,Sports,18078.7,220,177,10
33,Fashion Item 01,Fashion,17607.71,107,84,11
37,Fashion Item 05,Fashion,17162.23,125,95,12
21,Beauty Item 05,Beauty,16945.239999999998,222,188,13
12,Home Item 04,Home,16683.75,145,115,14
46,Grocery Item 06,Grocery,14904.06,122,99,15
36,Fashion Item 04,Fashion,14320.560000000001,275,226,16
26,Sports Item 02,Sports,13077.15,108,88,17
3,Electronics Item 03,Electronics,11534.83,206,169,18
11,Home Item 03,Home,10080.27,90,75,19
6,Electronics Item 06,Electronics,8266.18,96,75,20
30,Sports Item 06,Sports,7208.200000000001,110,83,21
8,Electronics Item 08,Electronics,6833.46,342,287,22
20,Beauty Item 04,Beauty,6287.36,152,127,23
25,Sports Item 01,Sports,6034.679999999999,141,109,24
1,Electronics Item 01,Electronics,6022.34,54,42,25
4,Electronics Item 04,Electronics,6014.92,86,68,26
22,Beauty Item 06,Beauty,6010.42,81,62,27
39,Fashion Item 07,Fashion,5076.51,42,36,28
43,Grocery Item 03,Grocery,4705.5599999999995,196,149,29
34,Fashion Item 02,Fashion,4401.96,104,77,30
13,Home Item 05,Home,4176.24,122,105,31
47,Grocery Item 07,Grocery,4095.6,196,158,32
45,Grocery Item 05,Grocery,3903.2799999999997,126,110,33
2,Electronics Item 02,Electronics,3529.17,37,30,34
18,Beauty Item 02,Beauty,3447.9,94,77,35
48,,Grocery,3374.42,34,26,36
17,Beauty Item 01,Beauty,3304.8,33,20,37
38,Fashion Item 06,Fashion,3064.8199999999997,39,30,38
32,Sports Item 08,Sports,2959.4500000000003,250,201,39
5,Electronics Item 05,Electronics,2671.0099999999998,45,37,40
41,Grocery Item 01,Grocery,2473.5,51,40,41
9,Home Item 01,Home,2375.69,41,37,42
27,Sports Item 03,Sports,1989.24,83,66,43
31,Sports Item 07,Sports,1681.5900000000001,87,66,44
16,Home Item 08,Home,1568.1299999999999,11,10,45
7,Electronics Item 07,Electronics,826.96,6,4,46
24,Beauty Item 08,Beauty,636.12,22,17,47
29,Sports Item 05,Sports,263.9,30,26,48
